Comparing Generated XPaths for all elements:

Tag                            | Global Depth Mode                                                                | Parent Scoped Mode
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
<company>                      | /company[1]                                                                      | /company[1]
<department>                   | /company[1]/department[1]                                                        | /company[1]/department[1]
<team>                         | /company[1]/department[1]/team[1]                                                | /company[1]/department[1]/team[1]
<service>                      | /company[1]/department[1]/team[1]/service[1]                                     | /company[1]/department[1]/team[1]/service[1]
<name>                         | /company[1]/department[1]/team[1]/service[1]/name[1]                             | /company[1]/department[1]/team[1]/service[1]/name[1]
<owner>                        | /company[1]/department[1]/team[1]/service[1]/owner[1]                            | /company[1]/department[1]/team[1]/service[1]/owner[1]
<person>                       | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]                  | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]
<firstName>                    | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/firstName[1]     | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/firstName[1]
<lastName>                     | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/lastName[1]      | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/lastName[1]
<roles>                        | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/roles[1]         | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/roles[1]
<role>                         | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/roles[1]/role[1] | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/roles[1]/role[1]
<role>                         | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/roles[1]/role[2] | /company[1]/department[1]/team[1]/service[1]/owner[1]/person[1]/roles[1]/role[2]
<endpoints>                    | /company[1]/department[1]/team[1]/service[1]/endpoints[1]                        | /company[1]/department[1]/team[1]/service[1]/endpoints[1]
<endpoint>                     | /company[1]/department[1]/team[1]/service[1]/endpoints[1]/endpoint[1]            | /company[1]/department[1]/team[1]/service[1]/endpoints[1]/endpoint[1]
<endpoint>                     | /company[1]/department[1]/team[1]/service[1]/endpoints[1]/endpoint[2]            | /company[1]/department[1]/team[1]/service[1]/endpoints[1]/endpoint[2]
<endpoint>                     | /company[1]/department[1]/team[1]/service[1]/endpoints[1]/endpoint[3]            | /company[1]/department[1]/team[1]/service[1]/endpoints[1]/endpoint[3]
<service>                      | /company[1]/department[1]/team[1]/service[2]                                     | /company[1]/department[1]/team[1]/service[2]
<name>                         | /company[1]/department[1]/team[1]/service[2]/name[2]                             | /company[1]/department[1]/team[1]/service[2]/name[1]
<owner>                        | /company[1]/department[1]/team[1]/service[2]/owner[2]                            | /company[1]/department[1]/team[1]/service[2]/owner[1]
<person>                       | /company[1]/department[1]/team[1]/service[2]/owner[2]/person[2]                  | /company[1]/department[1]/team[1]/service[2]/owner[1]/person[1]
<firstName>                    | /company[1]/department[1]/team[1]/service[2]/owner[2]/person[2]/firstName[2]     | /company[1]/department[1]/team[1]/service[2]/owner[1]/person[1]/firstName[1]
<lastName>                     | /company[1]/department[1]/team[1]/service[2]/owner[2]/person[2]/lastName[2]      | /company[1]/department[1]/team[1]/service[2]/owner[1]/person[1]/lastName[1]
<roles>                        | /company[1]/department[1]/team[1]/service[2]/owner[2]/person[2]/roles[2]         | /company[1]/department[1]/team[1]/service[2]/owner[1]/person[1]/roles[1]
<role>                         | /company[1]/department[1]/team[1]/service[2]/owner[2]/person[2]/roles[2]/role[3] | /company[1]/department[1]/team[1]/service[2]/owner[1]/person[1]/roles[1]/role[1]
<endpoints>                    | /company[1]/department[1]/team[1]/service[2]/endpoints[2]                        | /company[1]/department[1]/team[1]/service[2]/endpoints[1]
<endpoint>                     | /company[1]/department[1]/team[1]/service[2]/endpoints[2]/endpoint[4]            | /company[1]/department[1]/team[1]/service[2]/endpoints[1]/endpoint[1]
<endpoint>                     | /company[1]/department[1]/team[1]/service[2]/endpoints[2]/endpoint[5]            | /company[1]/department[1]/team[1]/service[2]/endpoints[1]/endpoint[2]
<team>                         | /company[1]/department[1]/team[2]                                                | /company[1]/department[1]/team[2]
<pipeline>                     | /company[1]/department[1]/team[2]/pipeline[1]                                    | /company[1]/department[1]/team[2]/pipeline[1]
<stage>                        | /company[1]/department[1]/team[2]/pipeline[1]/stage[1]                           | /company[1]/department[1]/team[2]/pipeline[1]/stage[1]
<task>                         | /company[1]/department[1]/team[2]/pipeline[1]/stage[1]/task[1]                   | /company[1]/department[1]/team[2]/pipeline[1]/stage[1]/task[1]
<task>                         | /company[1]/department[1]/team[2]/pipeline[1]/stage[1]/task[2]                   | /company[1]/department[1]/team[2]/pipeline[1]/stage[1]/task[2]
<stage>                        | /company[1]/department[1]/team[2]/pipeline[1]/stage[2]                           | /company[1]/department[1]/team[2]/pipeline[1]/stage[2]
<task>                         | /company[1]/department[1]/team[2]/pipeline[1]/stage[2]/task[3]                   | /company[1]/department[1]/team[2]/pipeline[1]/stage[2]/task[1]
<stage>                        | /company[1]/department[1]/team[2]/pipeline[1]/stage[3]                           | /company[1]/department[1]/team[2]/pipeline[1]/stage[3]
<task>                         | /company[1]/department[1]/team[2]/pipeline[1]/stage[3]/task[4]                   | /company[1]/department[1]/team[2]/pipeline[1]/stage[3]/task[1]
<task>                         | /company[1]/department[1]/team[2]/pipeline[1]/stage[3]/task[5]                   | /company[1]/department[1]/team[2]/pipeline[1]/stage[3]/task[2]
<task>                         | /company[1]/department[1]/team[2]/pipeline[1]/stage[3]/task[6]                   | /company[1]/department[1]/team[2]/pipeline[1]/stage[3]/task[3]
<department>                   | /company[1]/department[2]                                                        | /company[1]/department[2]
<campaign>                     | /company[1]/department[2]/campaign[1]                                            | /company[1]/department[2]/campaign[1]
<name>                         | /company[1]/department[2]/campaign[1]/name[1]                                    | /company[1]/department[2]/campaign[1]/name[1]
<assets>                       | /company[1]/department[2]/campaign[1]/assets[1]                                  | /company[1]/department[2]/campaign[1]/assets[1]
<image>                        | /company[1]/department[2]/campaign[1]/assets[1]/image[1]                         | /company[1]/department[2]/campaign[1]/assets[1]/image[1]
<video>                        | /company[1]/department[2]/campaign[1]/assets[1]/video[1]                         | /company[1]/department[2]/campaign[1]/assets[1]/video[1]
<document>                     | /company[1]/department[2]/campaign[1]/assets[1]/document[1]                      | /company[1]/department[2]/campaign[1]/assets[1]/document[1]
<campaign>                     | /company[1]/department[2]/campaign[2]                                            | /company[1]/department[2]/campaign[2]
<name>                         | /company[1]/department[2]/campaign[2]/name[2]                                    | /company[1]/department[2]/campaign[2]/name[1]
<assets>                       | /company[1]/department[2]/campaign[2]/assets[2]                                  | /company[1]/department[2]/campaign[2]/assets[1]
<image>                        | /company[1]/department[2]/campaign[2]/assets[2]/image[2]                         | /company[1]/department[2]/campaign[2]/assets[1]/image[1]
<video>                        | /company[1]/department[2]/campaign[2]/assets[2]/video[2]                         | /company[1]/department[2]/campaign[2]/assets[1]/video[1]
<department>                   | /company[1]/department[3]                                                        | /company[1]/department[3]
<campaign>                     | /company[1]/department[3]/campaign[3]                                            | /company[1]/department[3]/campaign[1]
<name>                         | /company[1]/department[3]/campaign[3]/name[3]                                    | /company[1]/department[3]/campaign[1]/name[1]
<assets>                       | /company[1]/department[3]/campaign[3]/assets[3]                                  | /company[1]/department[3]/campaign[1]/assets[1]
<image>                        | /company[1]/department[3]/campaign[3]/assets[3]/image[3]                         | /company[1]/department[3]/campaign[1]/assets[1]/image[1]
<video>                        | /company[1]/department[3]/campaign[3]/assets[3]/video[3]                         | /company[1]/department[3]/campaign[1]/assets[1]/video[1]
<document>                     | /company[1]/department[3]/campaign[3]/assets[3]/document[2]                      | /company[1]/department[3]/campaign[1]/assets[1]/document[1]
<campaign>                     | /company[1]/department[3]/campaign[4]                                            | /company[1]/department[3]/campaign[2]
<name>                         | /company[1]/department[3]/campaign[4]/name[4]                                    | /company[1]/department[3]/campaign[2]/name[1]
<assets>                       | /company[1]/department[3]/campaign[4]/assets[4]                                  | /company[1]/department[3]/campaign[2]/assets[1]
<image>                        | /company[1]/department[3]/campaign[4]/assets[4]/image[4]                         | /company[1]/department[3]/campaign[2]/assets[1]/image[1]
<video>                        | /company[1]/department[3]/campaign[4]/assets[4]/video[4]                         | /company[1]/department[3]/campaign[2]/assets[1]/video[1]
<pipeline>                     | /company[1]/pipeline[1]                                                          | /company[1]/pipeline[1]
<stage>                        | /company[1]/pipeline[1]/stage[1]                                                 | /company[1]/pipeline[1]/stage[1]
<task>                         | /company[1]/pipeline[1]/stage[1]/task[1]                                         | /company[1]/pipeline[1]/stage[1]/task[1]
<task>                         | /company[1]/pipeline[1]/stage[1]/task[2]                                         | /company[1]/pipeline[1]/stage[1]/task[2]
<stage>                        | /company[1]/pipeline[1]/stage[2]                                                 | /company[1]/pipeline[1]/stage[2]
<task>                         | /company[1]/pipeline[1]/stage[2]/task[3]                                         | /company[1]/pipeline[1]/stage[2]/task[1]
<stage>                        | /company[1]/pipeline[1]/stage[3]                                                 | /company[1]/pipeline[1]/stage[3]
<task>                         | /company[1]/pipeline[1]/stage[3]/task[4]                                         | /company[1]/pipeline[1]/stage[3]/task[1]
<task>                         | /company[1]/pipeline[1]/stage[3]/task[5]                                         | /company[1]/pipeline[1]/stage[3]/task[2]
<task>                         | /company[1]/pipeline[1]/stage[3]/task[6]                                         | /company[1]/pipeline[1]/stage[3]/task[3]
